job_id,model,n,p,n_regions,n_iter,n_annotations,annot_name,annot_type,annot_enrichment,S_values,phi_values,p_causal_values
1,sparse,1000,100,4,10,3,none,none,NA,1;2;3;5;8,0.05;0.1;0.2;0.4;0.6,0.1;0.2;0.4;0.8
2,sparse,1000,100,4,10,3,binary_low,binary,2,1;2;3;5;8,0.05;0.1;0.2;0.4;0.6,0.1;0.2;0.4;0.8
3,sparse,1000,100,4,10,3,binary_high,binary,10,1;2;3;5;8,0.05;0.1;0.2;0.4;0.6,0.1;0.2;0.4;0.8
4,sparse,1000,100,4,10,3,continuous_low,continuous,2,1;2;3;5;8,0.05;0.1;0.2;0.4;0.6,0.1;0.2;0.4;0.8
5,sparse,1000,100,4,10,3,continuous_high,continuous,10,1;2;3;5;8,0.05;0.1;0.2;0.4;0.6,0.1;0.2;0.4;0.8
6,sparse,1000,200,4,10,3,none,none,NA,1;2;3;5;8,0.05;0.1;0.2;0.4;0.6,0.1;0.2;0.4;0.8
7,sparse,1000,200,4,10,3,binary_low,binary,2,1;2;3;5;8,0.05;0.1;0.2;0.4;0.6,0.1;0.2;0.4;0.8
8,sparse,1000,200,4,10,3,binary_high,binary,10,1;2;3;5;8,0.05;0.1;0.2;0.4;0.6,0.1;0.2;0.4;0.8
9,sparse,1000,200,4,10,3,continuous_low,continuous,2,1;2;3;5;8,0.05;0.1;0.2;0.4;0.6,0.1;0.2;0.4;0.8
10,sparse,1000,200,4,10,3,continuous_high,continuous,10,1;2;3;5;8,0.05;0.1;0.2;0.4;0.6,0.1;0.2;0.4;0.8
11,sparse,1000,400,4,10,3,none,none,NA,1;2;3;5;8,0.05;0.1;0.2;0.4;0.6,0.1;0.2;0.4;0.8
12,sparse,1000,400,4,10,3,binary_low,binary,2,1;2;3;5;8,0.05;0.1;0.2;0.4;0.6,0.1;0.2;0.4;0.8
13,sparse,1000,400,4,10,3,binary_high,binary,10,1;2;3;5;8,0.05;0.1;0.2;0.4;0.6,0.1;0.2;0.4;0.8
