region_id,chrom,start,end,block_start,block_end,notes
ldEUR_01_0001,1,801595,1101595,10583,1892607,LDetect EUR block (full block: 1:10583-1892607)
ldEUR_01_0002,1,2587671,2887671,1892607,3582736,LDetect EUR block (full block: 1:1892607-3582736)
ldEUR_01_0003,1,3831773,4131773,3582736,4380811,LDetect EUR block (full block: 1:3582736-4380811)
ldEUR_01_0004,1,4997352,5297352,4380811,5913893,LDetect EUR block (full block: 1:4380811-5913893)
ldEUR_01_0005,1,6430614,6730614,5913893,7247335,LDetect EUR block (full block: 1:5913893-7247335)
ldEUR_01_0006,1,8156267,8456267,7247335,9365199,LDetect EUR block (full block: 1:7247335-9365199)
ldEUR_01_0007,1,9936091,10236091,9365199,10806984,LDetect EUR block (full block: 1:9365199-10806984)
ldEUR_01_0008,1,11142412,11442412,10806984,11777841,LDetect EUR block (full block: 1:10806984-11777841)
ldEUR_01_0009,1,12128653,12428653,11777841,12779466,LDetect EUR block (full block: 1:11777841-12779466)
ldEUR_01_0010,1,13685488,13985488,12779466,14891511,LDetect EUR block (full block: 1:12779466-14891511)
ldEUR_01_0011,1,15744620,16044620,14891511,16897730,LDetect EUR block (full block: 1:14891511-16897730)
ldEUR_01_0012,1,17630314,17930314,16897730,18662899,LDetect EUR block (full block: 1:16897730-18662899)
ldEUR_01_0013,1,19416024,19716024,18662899,20469149,LDetect EUR block (full block: 1:18662899-20469149)
ldEUR_01_0014,1,20952868,21252868,20469149,21736588,LDetect EUR block (full block: 1:20469149-21736588)
ldEUR_01_0015,1,22261735,22561735,21736588,23086883,LDetect EUR block (full block: 1:21736588-23086883)
ldEUR_01_0016,1,23353736,23653736,23086883,23920590,LDetect EUR block (full block: 1:23086883-23920590)
ldEUR_01_0017,1,24568717,24868717,23920590,25516845,LDetect EUR block (full block: 1:23920590-25516845)
ldEUR_01_0018,1,26309356,26609356,25516845,27401867,LDetect EUR block (full block: 1:25516845-27401867)
ldEUR_01_0019,1,28631874,28931874,27401867,30161881,LDetect EUR block (full block: 1:27401867-30161881)
ldEUR_01_0020,1,31150283,31450283,30161881,32438685,LDetect EUR block (full block: 1:30161881-32438685)
ldEUR_01_0021,1,33469221,33769221,32438685,34799758,LDetect EUR block (full block: 1:32438685-34799758)
ldEUR_01_0022,1,36024470,36324470,34799758,37549183,LDetect EUR block (full block: 1:34799758-37549183)
ldEUR_01_0023,1,37990515,38290515,37549183,38731847,LDetect EUR block (full block: 1:37549183-38731847)
ldEUR_01_0024,1,39316207,39616207,38731847,40200567,LDetect EUR block (full block: 1:38731847-40200567)
ldEUR_01_0025,1,40937947,41237947,40200567,41975327,LDetect EUR block (full block: 1:40200567-41975327)
ldEUR_01_0026,1,42716892,43016892,41975327,43758457,LDetect EUR block (full block: 1:41975327-43758457)
ldEUR_01_0027,1,44213820,44513820,43758457,44969183,LDetect EUR block (full block: 1:43758457-44969183)
ldEUR_01_0028,1,45784342,46084342,44969183,46899501,LDetect EUR block (full block: 1:44969183-46899501)
ldEUR_01_0029,1,47301038,47601038,46899501,48002576,LDetect EUR block (full block: 1:46899501-48002576)
ldEUR_01_0030,1,48340382,48640382,48002576,48978188,LDetect EUR block (full block: 1:48002576-48978188)
ldEUR_01_0031,1,49286182,49586182,48978188,49894177,LDetect EUR block (full block: 1:48978188-49894177)
ldEUR_01_0032,1,50653951,50953951,49894177,51713726,LDetect EUR block (full block: 1:49894177-51713726)
ldEUR_01_0033,1,52819994,53119994,51713726,54226262,LDetect EUR block (full block: 1:51713726-54226262)
ldEUR_01_0034,1,55169689,55469689,54226262,56413117,LDetect EUR block (full block: 1:54226262-56413117)
ldEUR_01_0035,1,56567422,56867422,56413117,57021728,LDetect EUR block (full block: 1:56413117-57021728)
