region_id,chrom,start,end,notes
r001,1,40000000,40300000,chr1 short arm
r002,1,80000000,80300000,chr1 mid before centromere
r003,1,200000000,200300000,chr1 long arm
r004,2,50000000,50300000,chr2 short arm
r005,2,160000000,160300000,chr2 long arm
r006,3,30000000,30300000,chr3 short arm
r007,3,50000000,50300000,chr3 mid before centromere
r008,3,130000000,130300000,chr3 long arm
r009,4,30000000,30300000,chr4 before centromere
r010,4,80000000,80300000,chr4 after centromere
r011,4,150000000,150300000,chr4 long arm
r012,5,30000000,30300000,chr5 before centromere
r013,5,80000000,80300000,chr5 after centromere
r014,5,150000000,150300000,chr5 long arm
r015,6,45000000,45300000,chr6 between MHC and centromere
r016,6,100000000,100300000,chr6 long arm
r017,7,30000000,30300000,chr7 before centromere
r018,7,100000000,100300000,chr7 after centromere
r019,8,20000000,20300000,chr8 short arm
r020,8,80000000,80300000,chr8 after centromere
r021,8,130000000,130300000,chr8 long arm
r022,9,30000000,30300000,chr9 before large centromere
r023,9,100000000,100300000,chr9 after large centromere
r024,10,20000000,20300000,chr10 before centromere
r025,10,80000000,80300000,chr10 after centromere
r026,10,120000000,120300000,chr10 long arm
r027,11,25000000,25300000,chr11 before centromere
r028,11,85000000,85300000,chr11 after centromere
r029,12,20000000,20300000,chr12 before centromere
r030,12,80000000,80300000,chr12 after centromere
r031,12,120000000,120300000,chr12 long arm
r032,13,30000000,30300000,chr13 proximal (post-centromere)
r033,13,80000000,80300000,chr13 mid
r034,14,35000000,35300000,chr14 proximal
r035,14,80000000,80300000,chr14 mid
r036,15,35000000,35300000,chr15 proximal
r037,15,75000000,75300000,chr15 distal
r038,16,20000000,20300000,chr16 short arm
r039,16,65000000,65300000,chr16 long arm (post-centromere)
r040,17,15000000,15300000,chr17 short arm
r041,17,70000000,70300000,chr17 long arm
r042,18,25000000,25300000,chr18 before centromere
r043,18,55000000,55300000,chr18 long arm
r044,19,15000000,15300000,chr19 before centromere
r045,19,40000000,40300000,chr19 long arm
r046,20,15000000,15300000,chr20 before centromere
r047,20,45000000,45300000,chr20 long arm
r048,21,20000000,20300000,chr21 proximal
r049,21,38000000,38300000,chr21 distal
r050,22,20000000,20300000,chr22 proximal
